曲名,作曲家,来源,出处,时长,总小节数
落水天,郏国庆,广东民歌,《110首中国民歌钢琴小曲集》,0:03:32,34
妈妈娘你好糊涂,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:02:25,36
苏武牧羊,郏国庆,汉族古曲,《110首中国民歌钢琴小曲集》,0:02:23,47
我爱我的台湾,郏国庆,高山族民歌,《110首中国民歌钢琴小曲集》,0:02:23,52
青丝鸟,郏国庆,浙江民歌,《110首中国民歌钢琴小曲集》,0:02:14,60
蓝花花,郏国庆,陕北民歌,《110首中国民歌钢琴小曲集》,0:02:11,35
月牙五更调,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:02:11,39
交城山,郏国庆,山西民歌,《110首中国民歌钢琴小曲集》,0:02:08,51
生产忙,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:01:56,79
思想起,郏国庆,台湾民歌,《110首中国民歌钢琴小曲集》,0:01:53,44
编花篮,郏国庆,河南民歌,《110首中国民歌钢琴小曲集》,0:01:49,76
孟姜女,郏国庆,江苏民歌,《110首中国民歌钢琴小曲集》,0:01:49,20
城墙上跑马,郏国庆,内蒙民歌,《110首中国民歌钢琴小曲集》,0:01:43,42
里郎歌,郏国庆,浙江民歌,《110首中国民歌钢琴小曲集》,0:01:43,62
台湾岛,郏国庆,台湾民歌,《110首中国民歌钢琴小曲集》,0:01:43,18
紫竹调,郏国庆,江南民乐,《110首中国民歌钢琴小曲集》,0:01:42,50
妹妹的山丹花儿开,郏国庆,浙江民歌,《110首中国民歌钢琴小曲集》,0:01:33,43
三十里铺,郏国庆,陕西民歌,《110首中国民歌钢琴小曲集》,0:01:32,37
绣荷包,郏国庆,云南民歌,《110首中国民歌钢琴小曲集》,0:01:32,52
采茶,郏国庆,浙江民歌,《110首中国民歌钢琴小曲集》,0:01:30,50
马灯调,郏国庆,浙江民歌,《110首中国民歌钢琴小曲集》,0:01:28,40
九连环,郏国庆,苏北民歌,《110首中国民歌钢琴小曲集》,0:01:27,30
五朵花儿开,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:01:26,72
歌唱美丽的家乡,郏国庆,贵州民歌,《110首中国民歌钢琴小曲集》,0:01:25,32
绣花鞋,郏国庆,衢州民歌,《110首中国民歌钢琴小曲集》,0:01:24,48
回娘家,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:01:23,50
丢戒指,郏国庆,东北民歌,《110首中国民歌钢琴小曲集》,0:01:22,63
无锡景,郏国庆,江苏民歌,《110首中国民歌钢琴小曲集》,0:01:22,36
放风筝,郏国庆,辽宁民歌,《110首中国民歌钢琴小曲集》,0:01:21,69
普茹莱弟弟,郏国庆,内蒙东部蒙族,《110首中国民歌钢琴小曲集》,0:01:21,17
摇车曲,郏国庆,辽宁满族,《110首中国民歌钢琴小曲集》,0:01:19,18
青羊传,郏国庆,河北民歌,《110首中国民歌钢琴小曲集》,0:01:18,60
道拉基,郏国庆,朝鲜族民歌,《110首中国民歌钢琴小曲集》,0:01:17,46
打南沟岔,郏国庆,陕北民歌,《110首中国民歌钢琴小曲集》,0:01:13,65
暖小猪,郏国庆,山东民歌,《110首中国民歌钢琴小曲集》,0:01:12,36
秋收,郏国庆,山西民歌,《110首中国民歌钢琴小曲集》,0:01:12,28
太阳出来喜洋洋,郏国庆,四川民歌,《110首中国民歌钢琴小曲集》,0:01:12,53
拔根芦柴花,郏国庆,江苏民歌,《110首中国民歌钢琴小曲集》,0:01:10,35
白云鄂博颂,郏国庆,蒙古族民歌,《110首中国民歌钢琴小曲集》,0:01:06,33
雨不洒花花不红,郏国庆,云南民歌,《110首中国民歌钢琴小曲集》,0:01:06,62
小白菜,郏国庆,河北民歌,《110首中国民歌钢琴小曲集》,0:01:05,13
刨洋芋,郏国庆,山西民歌,《110首中国民歌钢琴小曲集》,0:01:04,26
多耶,陈怡,侗族传统歌舞,《百花争艳：中华钢琴100年. 第1卷，获奖作品集》,0:06:16,179
牧童短笛,贺绿汀,原创,《百花争艳：中华钢琴100年. 第1卷，获奖作品集》,0:02:30,80
”阿瓦日古里“主题变奏曲,陈怡,新疆民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:07:49,322
变奏曲（沂蒙山小调）,刘庄,山东民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:07:25,245
“共产儿童团歌”变奏曲,甘碧华,苏联少年先锋队队歌《燃烧吧，营火》,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:06:24,85
变奏曲（一粒下土一棵秧）,王建中,江苏民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:05:05,226
粤曲”双飞蝴蝶“主题变奏曲,陈培勋,越剧,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:05:03,156
变奏曲（刮地风）,郭志鸿,青海民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:03:21,158
变奏曲（十送红军）,江定仙,江西民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:03:21,150
”送大哥“主题变奏曲,杨儒怀,青海民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:02:48,107
兰花花,汪立三,陕北民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:02:35,88
欢乐的牧童（牧童之歌）,黄虎威,哈萨克民歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:01:18,78
“乒乓”变奏曲（小小球儿闪银光）,王志刚,儿歌,《百花争艳：中华钢琴100年. 第2卷，组曲与变奏曲集锦. 第3集，钢琴变奏曲》,0:00:58,49
茉莉花幻想曲,储望华,江苏民歌《茉莉花》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:06:52,101
新疆随想曲,储望华,郑秋枫《美丽的孔雀河》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:05:41,262
槐花几时开,舒泽池,四川民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:04:27,224
山丹丹开花红艳艳,王建中,陕北民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:04:10,187
蝶恋花,王建中,苏州评弹《蝶恋花·答李淑一》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:03:49,149
思恋,但昭义,谷建芬《那就是我》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:03:47,64
远方的客人请你留下来,麦丁,合唱曲,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:03:36,85
在那遥远的地方,桑桐,青海民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:03:36,79
解放区的天,储望华,陕北民歌《咱们的领袖毛主席》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:55,164
花鼓,瞿维,安徽民歌《凤阳花鼓》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:51,150
台湾同胞我的骨肉兄弟,周广仁,覃钊邦《台湾同胞我的骨肉兄弟》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:25,63
乌苏里船歌,陈铭志,赫哲族民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:23,61
红星闪闪放光彩,储望华,儿童故事片《闪闪的红星》主题歌《红星照我去战斗》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:19,159
黑眼睛的姑娘,郭志鸿,维吾尔族民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:17,60
浏阳河,王建中,歌舞剧《双送粮》唱段,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:02:07,90
对花,张翼,陕西民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:47,96
在银色的月光下,孙益林,塔塔尔族民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:45,57
斑鸠调,董为杰,江西民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:40,83
绣金匾,王建中,陕北民歌,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:33,61
跑马溜溜的山上,程娜,四川民歌《康定情歌》,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:28,62
黑牡丹,盛宗亮,青海花儿令,《百花争艳：中华钢琴100年. 第3卷，民族风韵作品集锦. 第1集，民歌曲艺风味》,0:01:26,47
